[2022-08-17 15:25:21.394] [exthost] [info] Extension host with pid 2799 started
[2022-08-17 15:25:21.395] [exthost] [info] Skipping acquiring lock for /home/bbd/.config/Code/User/workspaceStorage/7f2afa3e866a46178de3ffb5c58a1265.
[2022-08-17 15:25:21.678] [exthost] [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:jsonc'
[2022-08-17 15:25:21.826] [exthost] [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
[2022-08-17 15:25:22.293] [exthost] [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
[2022-08-17 15:25:23.693] [exthost] [info] ExtensionService#_doActivateExtension vscode.microsoft-authentication, startup: false, activationEvent: 'onAuthenticationRequest:microsoft'
[2022-08-17 15:25:24.204] [exthost] [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: true, activationEvent: '*'
[2022-08-17 15:25:24.243] [exthost] [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
[2022-08-17 15:25:24.257] [exthost] [info] ExtensionService#_doActivateExtension vscode.ipynb, startup: true, activationEvent: '*'
[2022-08-17 15:25:24.280] [exthost] [info] ExtensionService#_doActivateExtension donjayamanne.githistory, startup: true, activationEvent: '*'
[2022-08-17 15:25:24.379] [exthost] [info] ExtensionService#_doActivateExtension ecmel.vscode-html-css, startup: true, activationEvent: '*'
[2022-08-17 15:25:24.471] [exthost] [info] ExtensionService#_doActivateExtension formulahendry.auto-close-tag, startup: true, activationEvent: '*'
[2022-08-17 15:25:24.505] [exthost] [info] ExtensionService#_doActivateExtension formulahendry.auto-rename-tag, startup: true, activationEvent: '*'
[2022-08-17 15:25:24.532] [exthost] [info] ExtensionService#_doActivateExtension GitHub.codespaces, startup: true, activationEvent: '*'
[2022-08-17 15:25:25.385] [exthost] [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
[2022-08-17 15:25:25.543] [exthost] [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
[2022-08-17 15:25:26.727] [exthost] [info] ExtensionService#_doActivateExtension CloudStudio.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
[2022-08-17 15:25:27.774] [exthost] [info] Eager extensions activated
[2022-08-17 15:25:27.779] [exthost] [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onStartupFinished'
[2022-08-17 15:25:27.839] [exthost] [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
[2022-08-17 15:25:27.883] [exthost] [info] ExtensionService#_doActivateExtension esbenp.prettier-vscode, startup: false, activationEvent: 'onStartupFinished'
[2022-08-17 15:25:28.070] [exthost] [info] ExtensionService#_doActivateExtension ritwickdey.LiveServer, startup: false, activationEvent: 'onStartupFinished'
